"order_id","item_total","payment_total","discrepancy"
"ce6d150fb29ada17d2082f4847107665",1403.66,1586.47,182.81
"6e5fe7366a2e1bfbf3257dba0af1267f",287.91,406.92,119.01
"70b742795bc441e94a44a084b6d9ce7a",466.93,578.82,111.89
"996c7e73600ad3723e8627ab7bef81e4",587.90,664.43,76.53
"70b7e94ea46d3e8b5bc12a50186edaf0",213.15,274.84,61.69
"bc2c82b0ef78d2252b6176d1972db7c9",242.01,303.02,61.01
"af9ffff2ce6b3defd34fd4c78857a379",413.17,466.97,53.80
"262118ce178bb3e4590a3adcf6d62e6b",177.74,126.12,-51.62
"bfdb5bbb06458d600a33d61f5f287472",348.93,394.36,45.43
"8d9c0dc8d5a2ce804f6b925d8f8e6c1d",254.45,293.89,39.44
"b7579d24f5b2dd3e20f2e57d0e07d170",466.28,504.37,38.09
"abf1130bc676c9dcadf91e24f5e30a30",459.36,496.89,37.53
"b76190a2c095fba255ab46987545a660",227.91,263.24,35.33
"32720c0c8b42f4c2cdb07cee5ec2444b",224.75,259.59,34.84
"6b0ac1bdea322c7060eea92feb9e9a6f",327.87,362.56,34.69
"ee9dfabed586581a184f72e03544b4a2",307.50,342.12,34.62
"e8295bee3fcc58cbd94f165f36c11f4b",117.85,151.93,34.08
"dd7a24d1088cf9ed90329fb0dee088f4",259.31,293.07,33.76
"a69aaa894f707814637e9794aa556f0f",179.35,211.87,32.52
"513a94a0164453b4777d125b836f7ca1",208.19,240.47,32.28
"af37018fa60dd6b208ca5c88052cffee",239.18,270.34,31.16
"3e24e141d5703b84337db96998991424",236.19,266.94,30.75
"21ff9e52b420083bfc502b827916d069",235.70,266.38,30.68
"016726239765c18f66826453f39c64e3",235.13,265.77,30.64
"235a7628971a90567378815bf35d2a67",188.58,217.82,29.24
"239f380355f65dcb68551f07d16fc4a8",222.63,251.63,29.00
"a52e6fa2d7c6ecaf73ff5f7f10438339",207.00,233.97,26.97
"3c845174981c9b87340aa1ce5ef7fc9e",253.95,280.80,26.85
"3198796f14214053998f8f2eca1c9c59",172.94,199.75,26.81
"294b7da16c27e408f2137e10de0d9495",200.08,226.14,26.06
"6f0c925fc5d548afcddeea046d4e30d1",255.92,281.89,25.97
"1cd8d1567debd198821fe9d46d99b5b1",104.88,130.00,25.12
"78d7cdfcab0a42ea5428365d6ad0ff34",155.46,179.55,24.09
"cabb660c11fb7f6bbb5f454ea09c0b9f",254.81,278.70,23.89
"33a7b8ae888999afb219263e9a36fb77",175.34,198.19,22.85
"37af0498017bcfbffca8855bdc9ecc6b",171.32,193.63,22.31
"44be450f0262cf8f77ea4fcab05dafa3",169.28,191.32,22.04
"00789ce015e7e5791c7914f32bb4fad4",168.83,190.81,21.98
"2fdb4ded4a31592814f6865adcaf9ea7",206.89,228.78,21.89
"fd33085945f15975375cd8ec85440511",234.62,212.82,-21.80
"3b773756d8fc59a7cd1a0c4ac584e397",167.17,188.96,21.79
"e42760f40f2fba3ba7529b6157adf501",147.00,167.94,20.94
"8d282c2ddced263b2c6ddf398e3fb6dc",298.18,318.96,20.78
"8c82eab3813ca92415655a5e4b1a8b7a",67.73,87.32,19.59
"29692492693482bc3acf19d97fac69f8",123.69,142.86,19.17
"958e0d4145c40f4951c1bf4d2cf1166a",123.01,142.07,19.06
"ac68b19902b80f75c025b4646f1d9e7c",180.07,198.83,18.76
"4324f32177ce15c52c8e1c570c259dc0",119.76,138.31,18.55
"aeffea2c78ec9b15d6cd7478c9072c07",117.08,135.22,18.14
"6b956d19010e956e03b175e66b2b7142",75.48,93.58,18.10
"e99bb46d32c47a666290f7c5928f7236",136.59,154.38,17.79
"3f0f2949423ea4caec394b9d09f075dd",217.64,235.42,17.78
"53e57107ef6a155ab06400be24aa7922",112.27,129.68,17.41
"b8b3f1a93f6899699c4cfab3f0cb85e0",108.86,125.74,16.88
"10a6730b0b333e2b017dd139a0530f19",126.99,143.53,16.54
"6e57e23ecac1ae881286657694444267",350.41,333.91,-16.50
"580f3268bc2075c5961b2d2929c7a35b",105.71,122.10,16.39
"a2c173a8905b6e8f3c6ea83b7d9c6b91",153.36,169.60,16.24
"971d58b94f7bda9a79f4847e1509a433",67.67,83.89,16.22
"c9c703564ad4d6fb43a1cff5524574ac",154.49,170.58,16.09
"a196d7c6ecd939360a6dfbee0ebacadb",123.47,139.55,16.08
"faf132fb35b3b3b533a67efbd6e7c02d",115.02,130.01,14.99
"4154bf1348caac78152fe76e3e9c4af8",165.26,150.27,-14.99
"6dcf0aeb8b1eb4021c26e1d0e9394979",333.92,318.97,-14.95
"9ea6d21c1c1b510f96f7917419175197",114.94,129.89,14.95
"061c97a9bd7911f9d2031e1b820c344f",315.26,329.80,14.54
"2f722ee8f3d3db0d19cee8ebea6fa69e",110.02,124.35,14.33
"2f9d4ee8ca77fe0951ebfe9064cad953",91.07,105.19,14.12
"c5bb8cf75ccd20ee373200ab31628770",107.78,121.80,14.02
"9224db86cedf958891e1b1afb4ad570c",88.89,102.67,13.78
"0e556f5eafbf3eb399290101b183b10e",95.66,81.90,-13.76
"c69be353fa727fbeba5c4b39dfb9dbc8",87.76,101.39,13.63
"156ba06ab4556cd19613dca1cefa9f7a",87.64,101.22,13.58
"487ebdc91b499c9442c96f81d71dcf7d",141.64,155.14,13.50
"3263ce99ba29ddb2a3a4133210581dce",103.48,116.95,13.47
"1f4e46205be9ddf4f9b0e98b11a1a570",99.43,112.36,12.93
"34e6b9f685df8e8b6465a715689c749f",122.57,135.34,12.77
"b8bf711248376c421faaea8f02d149f9",78.84,91.06,12.22
"a055f8239d18a2008883be78eb09cf41",78.50,90.67,12.17
"fa0d5b3cb1f2221766145a60ba18ac64",129.21,141.32,12.11
"2dbe4c889950d30ef0988bbcac7ca86b",77.07,89.01,11.94
"9be011772d473c8a8c87e86029ab511c",150.73,162.65,11.92
"3c052d74f852adbeb14c7e8da52b9e6e",125.43,137.17,11.74
"585f3aa654c4d58eb968fc4fe6e3e92e",89.63,101.31,11.68
"4c57f545143e8865ca2347d8cba154a7",139.61,151.01,11.40
"63cb2376233663b05e9beb6bd9206c65",72.94,84.25,11.31
"a60e074eb5678582482c8bc0612e591c",74.66,85.65,10.99
"469f0b908881368c45917f1bed8240ce",84.20,95.17,10.97
"a800ac0385a83264291f978ab075dd68",70.38,81.29,10.91
"02f4dd90ba0feb8ec394cac05862d2b5",130.96,141.65,10.69
"c915c070ee2f91af30208cd30cd0dee0",152.27,162.88,10.61
"911a1257a699f1b61ec55aa88eace3bd",68.43,79.04,10.61
"9f98fbb9d688c4f3356987801b19286d",80.74,91.26,10.52
"8092da256aefda13b330290d2ca86521",115.65,105.26,-10.39
"2bdfeff498c8742708633364e3eeee08",79.17,89.48,10.31
"e0578c04575c73456bf9891ae5db8c5a",78.65,88.90,10.25
"ac75a9ba33bcc9cefc7e36b0f4cc044a",65.78,75.98,10.20
"e57d9d7eca079892fe0aee2b0cf96311",105.38,115.42,10.04
"aa6bd33ba1853d846d3085a88ae37083",35.14,25.14,-10.00
"4387477eec4b3c89b39f3f454940d059",231.92,222.02,-9.90
"5f20455f0e74de9eae30de410c811013",83.07,92.87,9.80
"8fc4cc76b7842723f0f25209b4420b85",62.82,72.55,9.73
"ee5dbc8989dbc768ce58b68213bfc285",103.64,113.34,9.70
"0b13a698a0b7a62e8ec891081558b7aa",62.57,72.27,9.70
"87a71a39b50dac1a8ad74cddfaa82703",73.43,83.00,9.57
"033ccfbdfc4d29677b7e1e6df3a82820",59.96,69.26,9.30
"139be8870b91e71fd70bb366305c8cde",133.18,142.46,9.28
"fbf352b18a26c6a86a53cca922facd25",151.54,160.80,9.26
"c6f6cbb3c845593222d5c594bb69c5fd",113.33,104.34,-8.99
"ddcf6c758c04fe3f2e0d1ae301ec5f40",57.68,66.62,8.94
"bcc3b9b2b1b0f27be6e2816968b08fc6",109.02,117.93,8.91
"705eccb4d371ea1443a991787d36b59c",56.69,65.47,8.78
"51d435906a0487f17df29d38429e931b",125.29,134.03,8.74
"e003d94282e5f1e45760dde794a8a173",116.32,125.06,8.74
"501f63846d45f483acca1c6e89398610",66.78,75.49,8.71
"c02d29676287677de34ae218da13f8d1",92.57,101.24,8.67
"ddad987b1ab585281640b4b7e7261ede",105.18,113.77,8.59
"47bc2fbe3e9b64a723dd530a4f1612b8",65.78,74.35,8.57
"47e786d6d06274aaf984ca007751f3f0",65.53,74.07,8.54
"b05922c45fc699ae9049a2c5add3e02a",65.01,73.48,8.47
"06d7e8a85f5cfef576c5303ed7d7f2e5",63.72,72.02,8.30
"154b66f3b29e92e4c9fc7f1ad60cb668",63.09,71.31,8.22
"a77a378498a60424c73641a2bce561f8",62.01,70.09,8.08
"f44845a8eeec9bf829093ad92c846c09",61.66,69.69,8.03
"03b218d39c422c250f389120c531b61f",50.24,58.03,7.79
"49123f75e5d9507cec9455b2ed989913",59.42,67.16,7.74
"8b7fd198ad184563c231653673e75a7f",49.33,56.97,7.64
"6dbcce18ba1c717a5f29d192415872ea",92.57,100.14,7.57
"f7d17bafe7c67afef77b8a96ad5abfd3",108.10,115.64,7.54
"5ddee063fdf0f2a5c828b499fb857e85",57.61,65.10,7.49
"05252513392111e8721062d8ecd9edb1",56.85,64.26,7.41
"b887a2e34410f9ca015c231938fc3842",46.22,53.38,7.16
"91fe2d042bdf1fb8d6f2fc33f209ec04",54.14,61.19,7.05
"bf49f84a0580ef6751e13357776b7ed9",54.10,61.14,7.04
"e3d86ff081e92dedbd7b2a87838f0159",100.14,107.12,6.98
"e576bdc500f0c1c9a1b2a3ccce7000fb",53.38,60.35,6.97
"ee38b45af2d4e705a88a37af7f0cda97",52.84,59.73,6.89
"7e00454e2e8b8b2e12e9a580ec77f00c",58.38,65.27,6.89
"8d2a68ca0ac61329c56e0b74695b04b4",66.01,72.90,6.89
"d9647302d75348f06e63f8444ef95544",52.59,59.44,6.85
"33711ce52ccf7b8dcb0deaf37f573d32",114.44,121.07,6.63
"f05e32e2cc67748c34a77da2ff68841c",50.13,56.65,6.52
"82b5afc1133f4b14abbcb31fd3a3fa5d",61.01,67.46,6.45
"90f4238d4a0d8f6371e4fbb18af5df64",40.86,47.19,6.33
"320dcf288de15e4ff06ebbfce4e42c78",87.55,81.37,-6.18
"995ecfdb2406d9b579cf84368f42e7a0",106.87,113.05,6.18
"b495ec18170fb28a3610c8d3ab464442",39.31,45.40,6.09
"e4406088398131aed8c21c5a4ec3442b",103.55,109.55,6.00
"e74dce994d1d4b754ec4a4e709b8b65b",46.09,52.09,6.00
"dc6b76e937308e88a3464d0f4352b959",46.00,51.99,5.99
"3837859eff41b5dbbd1dfad5a066d0ae",38.22,44.15,5.93
"9eac94dce77597b831e8c0dfc584bc8b",55.78,61.68,5.90
"36d2de07c140425e7bd617c3665b5f80",72.08,77.97,5.89
"5f9e345bd69028860ff1b6a72c26dc45",44.78,50.61,5.83
"4d4aac37e91472a2cbb36ee91d35866f",69.75,75.44,5.69
"cdcbc6b851b5053b23ca73bc17d2ba50",47.59,53.21,5.62
"cc2e56876c1e46ae38eb40eb187b23a9",42.58,48.13,5.55
"d5575392b459cfde23795e925c6ce5d4",78.60,84.08,5.48
"9686875d0d9dcbe392244b6773605882",78.40,83.87,5.47
"74016effecaa79d592487f6a4ee47d4b",51.51,56.96,5.45
"6f393015477564624446a2b4c948c0f0",35.00,40.43,5.43
"0345ba423eed2b009e0e407b19c422e4",77.75,83.17,5.42
"7955ebc3660bd2a004a4eaa016b3a190",77.57,82.98,5.41
"028aa7c930356788f861ed1b7f984819",57.53,62.94,5.41
"debc12ca3f03ddd2137fa497916c4590",76.65,82.00,5.35
"c252ac96b969b3f1f2c4b266a7a98c28",75.54,80.81,5.27
"3f3d5f3033e9139ee7290ce6c74b6b79",75.63,80.90,5.27
"1811959f3ced8abc0645c21285a5a4d5",74.57,79.78,5.21
"a7db257661f3cc8b9b661474199da586",33.38,38.55,5.17
"d8523695fd09e96dd93c94cde119c037",89.39,94.56,5.17
"04e00ba23c33890eaee39b02e8185cc2",48.30,53.41,5.11
"9f47e04f95b2bba1442d5bbf0611733e",61.75,66.79,5.04
"ccd9c560145e965fc5c037e0cc1160b8",38.09,43.05,4.96
"051fcda88d997d3ff86012da2a556342",56.60,51.70,-4.90
"40c3b608098b72f21af4a0a9006af9d2",58.33,63.10,4.77
"eff853aac91ab73f53304207c4571d1f",36.09,40.78,4.69
"e840e5955073ba6b71936b76740014f4",35.81,40.48,4.67
"b3f7e36f7ae979c02959004e9d800387",65.46,70.04,4.58
"502668fa85b6cff5243cf74ce4100182",29.08,33.59,4.51
"f49de64f8655abdc94a86603570e10ec",72.85,77.23,4.38
"5ec8127f0e7abadc5ee625f266ee0742",36.13,40.36,4.23
"82a914d5f7af95901a18ef83b388bd4f",39.46,43.63,4.17
"96c0cb58d9c14384c9441f49917a911f",43.01,47.04,4.03
"38246d20fb91403c9ed13e1aa3c665ad",69.56,73.59,4.03
"84d6d9710c8af32b5e88f2d1c14ab871",57.68,61.70,4.02
"bdd163683d4bc75b0b2b7a8d9e1ccd26",69.05,73.05,4.00
"3fa397654fcf223b8d6f73a428c75041",86.09,90.05,3.96
"ed4116f3f55e67e9a26b9f1891ba2497",161.47,157.57,-3.90
"ecc1f5f885620b17543f01bf228ccd0a",47.13,50.99,3.86
"d2e9aead95751dd6bd0ce80e7d506c53",29.49,33.33,3.84
"3adc794e637a2ef67f006b35b36904a4",46.14,49.91,3.77
"77411858d5ea9f0dec6b071cec64349f",28.22,31.89,3.67
"fa87437f971fce498b2184cd2401e23e",63.27,66.93,3.66
"911e92767c07ba9926268bae6b4362b3",46.09,49.73,3.64
"e4e9fa1ceb459e9dfebba5e0b09849f3",78.76,82.39,3.63
"99d4dd36318ceb97e9feda8baade3ce2",76.77,80.31,3.54
"5570ac493a57e5dc00296c8de3813672",60.72,64.24,3.52
"4f7e7db8a14c1448fb17c00bcf1b8564",58.22,61.59,3.37
"2fadef94d26b8d88791d48a31129380d",57.69,61.04,3.35
"eaf0add60b176b64a692a1e382addea8",56.69,59.98,3.29
"515ff4f26a0c57c5011d891e45f3ed2f",75.95,79.18,3.23
"5e605c248def72c23690c44126f8ecb6",55.09,58.28,3.19
"7d57370d053b938c6dda99e5b72ad270",67.60,70.72,3.12
"7c9669c84a4eea3a3ab4f052945346b0",44.34,47.43,3.09
"f51fb43d2d69e83cc9cca35f9706798b",43.58,46.61,3.03
"ab39f24d0e515ab82f849a72b61597d3",65.71,68.74,3.03
"e2cba9bee26acacfd8100088c465cce4",51.75,54.74,2.99
"c8bedae351d76a3163c9840172c1285f",37.37,34.38,-2.99
"da335e512c5172e253ee80cb42acf8aa",114.15,117.12,2.97
"9a85e7c1fbe3b6519b2f943527d21426",63.60,66.53,2.93
"5b4e981913377d776f83cb4ffd82ad31",41.75,44.67,2.92
"7e4ac7e51f277ac8bd918f82063b20d8",62.01,64.89,2.88
"14bceeaef362188c60dedfe65e428001",34.51,37.33,2.82
"4b3176150cda3ef1348ba91dfb6c7b32",46.00,48.67,2.67
"3993ec583d077dd338c870d8b1f8d213",45.82,48.46,2.64
"6cff0c3dacf64bb7cb2ad584b81b7d0d",33.43,30.83,-2.60
"bd1a75149b4f3c4c2810386211835917",44.38,46.95,2.57
"67e09c3ba79d3041e1653c7dbf03425f",37.09,39.62,2.53
"e73fe43cdcd166f7f0c6e3c2bf11a917",59.00,56.50,-2.50
"90d589e42b7249c447d31594bd992684",54.08,56.57,2.49
"99e5f0c685ca94e5a1c7134b1898bb1a",36.46,38.94,2.48
"21ca56b276a6b8d082a1261f33786085",64.00,66.46,2.46
"94d1193f2a0ae739f23399b913bd577c",33.27,35.59,2.32
"65320cb291f4cacd8b0114a29eafa4c7",32.62,34.89,2.27
"8b5058499c412c6cf8d013de40e4f9d2",48.77,51.02,2.25
"5ac0d2c1229ba07ea5cd990360b21e34",48.62,50.86,2.24
"aad7d7dacb681055d348e02842f0590b",32.60,34.82,2.22
"12619b9be5cc3665b3f36f1e4b4d0ffa",37.77,39.95,2.18
"fdb034f444a32838124d8907e443d249",31.38,33.56,2.18
"b153668d9576aeae5c424bf7b125eea2",46.26,48.40,2.14
"164a6c920f4a6f51223792333af13e24",61.01,63.12,2.11
"3f319eb09e31aa1ea2a4079bdd655c62",43.69,45.71,2.02
"01e51b7c3025655646143d09b911e1d7",33.10,35.02,1.92
"91fbb4bf79cbb5c19eb018248c0fe683",109.29,111.19,1.90
"c14323552816050d396da49c9f23ae1e",31.90,33.75,1.85
"f1c86b9191896bcf9077ec22b6248153",55.80,57.60,1.80
"d9257c8e34393415a403600f6289fbc4",37.78,39.52,1.74
"6aaedd714ad6929fc4df8d51bd4cfe9a",61.32,62.99,1.67
"c235e3fbe42d171c9177e6664107170d",20.28,21.94,1.66
"6fa0c125ee7d870f6602c97e33d87bc5",47.31,45.71,-1.60
"ec3921c711c656d036c7316503867f69",34.51,36.10,1.59
"66b04218fe3a0af6ca54d243ecfb3737",44.69,46.24,1.55
"8ccbe46ffeae4720eba99d2d2de07542",28.75,30.30,1.55
"596b168ac4fd56e69b35087afaa8ae59",29.83,31.21,1.38
"5af817dcc7682f13101dbdef134be4e0",44.09,45.42,1.33
"57a82955454fb2a9a18633d841ac480d",22.33,23.62,1.29
"c253cb678b5c3b8e8c9a13fc97d8e7f5",35.70,36.94,1.24
"aa962f90c14940f2df3c6184f35a2184",35.59,36.82,1.23
"bcb9cb204fb7137dcb5dc3fdb94f11e5",29.28,30.29,1.01
